customerID,DOB,Gender,State,PinCode,transactionDate,store_code,store_description,till_no,transaction_number_by_till,promo_code,promotion_description,product_code,product_description,sales,discountUsed
BBID_20424414,16-09-1986,female,Punjab,143001,24-07-2016,2615,BB-AMRITSAR-TRILIUM MALL,12,48925,1163118,"AZ B1@30,B2@50 %OFF IVORY TAG REG",1.00E+12,"IT-IJ-FA-SS16-59-BBWA-003, ASSORTED, NA",29.5,Payback
BBID_20424649,10-11-1979,male,Punjab,160001,12-12-2015,2615,BB-AMRITSAR-TRILIUM MALL,4,15600,1052822,AZ 20 % OFF PROCESS FOOD ASS EXC,300014687,SAFAL SWEET CORN 500G,56,Payback
BBID_20424925,24-09-1989,male,Punjab,243001,23-02-2017,2615,BB-AMRITSAR-TRILIUM MALL,12,81661,NONPROMO,,108100352,LEMON LOOSE,44.4,Payback
BBID_20427022,03-08-1983,female,Punjab,411028,02-05-2017,2615,BB-AMRITSAR-TRILIUM MALL,8,73369,NONPROMO,,1000218533,DESI ATTA MAKKI/MAIZE ATTA PP 500g,66,Payback
BBID_20430675,30-12-1976,female,Punjab,999999,18-11-2015,2615,BB-AMRITSAR-TRILIUM MALL,13,11019,NONPROMO,,1000170824,GH CALIFORNIA WALNUT WHOLE PP 1kg,638.5,Payback
BBID_20432077,14-01-1984,male,Punjab,380052,10-06-2017,2615,BB-AMRITSAR-TRILIUM MALL,10,9351,NONPROMO,,1000434939,GILLETTE RAZORS SIMPLY VENUS 1P,55,Payback
BBID_20432402,21-09-1983,male,Punjab,122001,21-05-2017,2615,BB-AMRITSAR-TRILIUM MALL,8,75791,NONPROMO,,108000405,EVEREST READYMIX CHOLE BX 100g,60,Payback
BBID_20432402,21-09-1983,male,Punjab,122001,04-12-2016,2615,BB-AMRITSAR-TRILIUM MALL,11,77600,1215012,IZ 2@8 RS OFF REG Potato Based Wafer,1000071425,LAYS WFR AMERICN STY CREAM&ONION PP 95g,31,Payback
BBID_20432482,30-11-1984,male,Punjab,143001,22-01-2017,2615,BB-AMRITSAR-TRILIUM MALL,5,40534,NONPROMO,,300984748,BRITANNIA CRM BISC JIM JAM 3+1 150g OP,90,Payback
BBID_20432505,16-08-1986,female,Punjab,140307,04-09-2016,2615,BB-AMRITSAR-TRILIUM MALL,14,40443,1176143,HO 449 FLAT DOUBLE BED LINEN SET REG AZ,1.00E+12,"SS16-Ceylon OTB DBL, DSN-02, CORAL",449,Payback
BBID_20432549,16-07-1990,male,Punjab,143401,23-01-2017,2615,BB-AMRITSAR-TRILIUM MALL,1,41136,1235800,AZ 50 % OFF KIDS WERA ASSORTED REG,1.00E+12,"BBUWSCB-3161-SCB-FA, 1, ASSORTED",185.06,Payback
BBID_20432943,22-10-1979,female,Punjab,143001,15-01-2017,2615,BB-AMRITSAR-TRILIUM MALL,12,75440,NONPROMO,,300840018,Fiber bag 45 GSM 20x25,7,Payback
BBID_20433087,07-10-1976,male,Punjab,470001,25-06-2017,2615,BB-AMRITSAR-TRILIUM MALL,9,14419,NONPROMO,,108000539,GH POHA THIN 500g,33,Payback
BBID_20434611,18-08-1989,female,Punjab,133001,09-07-2016,2615,BB-AMRITSAR-TRILIUM MALL,4,51627,NONPROMO,,300955500,TRESEMME SHMP SMOOTH&SHINE BT 190ml,0,Payback
BBID_20434836,25-11-1991,female,Punjab,110008,14-06-2016,2615,BB-AMRITSAR-TRILIUM MALL,12,41723,NONPROMO,,1.00E+12,"DJKT-4161-PRL-97-SH-RG-LS, M, BLACK",499,Payback
BBID_20437246,13-09-1995,female,Punjab,143001,26-01-2016,2615,BB-AMRITSAR-TRILIUM MALL,10,18410,NONPROMO,,300789610,GH CHIWDA 1K+CHIWDA 500g OP,69,Payback
BBID_20437348,02-07-1970,male,Punjab,143001,15-06-2016,2615,BB-AMRITSAR-TRILIUM MALL,10,41207,NONPROMO,,1.00E+12,"CTTS-0160-TCC 06-A-RF-HS-TC, 15-16, NAVY",199,Payback
BBID_20437348,02-07-1970,male,Punjab,143001,12-11-2015,2615,BB-AMRITSAR-TRILIUM MALL,2,10403,NONPROMO,,1000450352,PATANJALI INSTANT NOODLE CLASSIC PP 60g,30,Payback
BBID_20437387,27-09-1994,female,Punjab,143001,06-11-2016,2615,BB-AMRITSAR-TRILIUM MALL,12,65172,1206504,HO 100 %OFF BKLET MCBV NOV AZ,1000638373,Nov'16 CB Vouchers,0,Payback
BBID_20438168,23-07-1989,male,Punjab,,09-09-2016,2615,BB-AMRITSAR-TRILIUM MALL,12,56154,NONPROMO,,1.00E+12,"LEMK-3161-10026-B-LS-LK-CF-EN, M, BLUE",699,Payback
BBID_20439132,16-09-1970,male,Punjab,226016,09-03-2017,2615,BB-AMRITSAR-TRILIUM MALL,9,92623,1257539,IN 25 RS OFF REG Liquid Concentrates,300529942,MISHRAMBHU LIQ CONC PR KSH BDM THND 700m,255,Payback
BBID_20439627,03-09-1977,male,Punjab,784001,30-05-2016,2615,BB-AMRITSAR-TRILIUM MALL,9,36119,1135210,NZ 5.0 %OFF Staples,300290079,GOLDIEE READYMIX CHOLE 100g,62.7,Payback
BBID_20439817,15-10-1959,male,Punjab,226012,12-12-2016,2615,BB-AMRITSAR-TRILIUM MALL,2,57670,NONPROMO,,300577983,TIDE DET POW PLUS JASMIN ROSE 2Kg,192,Payback
BBID_20440156,11-09-1976,male,Punjab,143001,27-03-2017,2615,BB-AMRITSAR-TRILIUM MALL,12,87402,4030,Ex300,1000262454,S&S 6 PCS FRUIT FORK CLASSIC,159.28,Payback
BBID_20440156,11-09-1976,male,Punjab,143001,15-01-2017,2615,BB-AMRITSAR-TRILIUM MALL,12,75397,NONPROMO,,1000527208,BONN BREAD NUHEALTH HAPPY HEART PP 400g,50,Payback
BBID_20440199,20-08-1991,female,Punjab,143001,31-07-2016,2615,BB-AMRITSAR-TRILIUM MALL,2,44500,NONPROMO,,300840018,Fiber bag 45 GSM 20x25,28,Payback
BBID_20440199,20-08-1991,female,Punjab,143001,02-06-2016,2615,BB-AMRITSAR-TRILIUM MALL,2,38511,NONPROMO,,301015185,VASELINE BD LTN ALOE FRESH MOIS BT 200ml,170,Payback
BBID_20440276,21-11-1980,male,Punjab,143115,09-11-2015,2615,BB-AMRITSAR-TRILIUM MALL,4,10362,NONPROMO,,300556798,STAYFREE DRY MAX ULT THN ALL NIGHT 14P,150,Payback
BBID_20440358,18-03-1993,male,Punjab,143001,22-06-2016,2615,BB-AMRITSAR-TRILIUM MALL,13,39988,NONPROMO,,108018729,AMUL BUTTER 100G,40,Payback
BBID_20440964,28-10-1987,male,Punjab,143001,26-04-2016,2615,BB-AMRITSAR-TRILIUM MALL,11,33208,NONPROMO,,300840018,Fiber bag 45 GSM 20x25,7,Payback
BBID_20441082,30-09-1965,female,Punjab,143001,20-01-2017,2615,BB-AMRITSAR-TRILIUM MALL,9,82478,NONPROMO,,1000681171,OREO CRM BIS GOLDEN CRM 3+1 150g OP,105,Payback
BBID_20441092,06-02-1975,male,Punjab,143001,05-01-2017,2615,BB-AMRITSAR-TRILIUM MALL,14,52975,NONPROMO,,1000443241,PATANJALI BODY CLEANSER ROSE KANTI 125g,45,Payback
BBID_20441097,09-08-1979,female,Punjab,143001,21-09-2016,2615,BB-AMRITSAR-TRILIUM MALL,8,48537,NONPROMO,,108036444,VENKYS FRZ SNACK CUTLET 500g,240,Payback
BBID_20441141,25-03-1978,male,Punjab,143001,22-03-2017,2615,BB-AMRITSAR-TRILIUM MALL,8,68138,4180,Ex1800,1.00E+12,"AW15-DBL Mink 2.2kg, DSN-07, NA",562.25,Payback
BBID_20441187,18-07-1990,female,Punjab,143001,03-09-2016,2615,BB-AMRITSAR-TRILIUM MALL,5,33265,NONPROMO,,300785150,BB-CB-27X30X168SWG-Suitable for ROI New,6,Payback
BBID_20441202,31-03-1958,female,Punjab,143001,26-03-2016,2615,BB-AMRITSAR-TRILIUM MALL,1,27144,1113386,AZ 499 FLAT ASSORTED LUGGAGE EX,1.00E+12,KZ-COMFY-SB-N-Blue,379.91,Payback
BBID_20441266,23-04-1977,male,Punjab,143001,15-02-2016,2615,BB-AMRITSAR-TRILIUM MALL,14,19945,NONPROMO,,108019981,BIKANO NAMKEEN MOONG PL 200G,49,Payback
BBID_20441332,17-09-1973,male,Punjab,143001,22-05-2016,2615,BB-AMRITSAR-TRILIUM MALL,10,36568,NONPROMO,,300840018,Fiber bag 45 GSM 20x25,7,Payback
BBID_20441351,17-03-1965,female,Punjab,143001,25-02-2017,2615,BB-AMRITSAR-TRILIUM MALL,4,81930,NONPROMO,,108100145,BANANA ROBUSTA RAW,106.26,Payback
BBID_20441351,17-03-1965,female,Punjab,143001,28-06-2016,2615,BB-AMRITSAR-TRILIUM MALL,12,44562,NONPROMO,,300313498,IBERO POMACE OLIVE OIL TN 5L,1325,Payback
BBID_20441371,27-08-1983,male,Punjab,143001,06-05-2017,2615,BB-AMRITSAR-TRILIUM MALL,10,3049,NONPROMO,,1000208990,TRIVENI EGGS WHITE DAILY BITES 30P,132,Payback
BBID_20443315,27-05-1985,female,Punjab,143001,31-10-2016,2615,BB-AMRITSAR-TRILIUM MALL,10,66058,1202653,IZ 499 FLAT LIQ DINING NEEDS,1000111772,Larah 12pcs Cup Saucer Set,499,Payback
BBID_20443839,02-05-1968,male,Punjab,713103,19-02-2017,2615,BB-AMRITSAR-TRILIUM MALL,8,64416,NONPROMO,,108000415,EVEREST READYMIX KITCHEN KING BX 100g,63,Payback
BBID_20444372,03-07-1988,male,Punjab,143001,18-03-2017,2615,BB-AMRITSAR-TRILIUM MALL,13,77488,NONPROMO,,1.00E+12,"SCF-0010-Dobby-YD-SE, 50X180CM, NAVY",199,Payback
BBID_20444533,25-06-1986,male,Punjab,143001,11-03-2017,2615,BB-AMRITSAR-TRILIUM MALL,10,90744,NONPROMO,,1000453067,KURKURE NAMK ALOO BHUJIA 165g,35,Payback
BBID_20444547,01-04-1959,female,Punjab,143001,15-03-2017,2615,BB-AMRITSAR-TRILIUM MALL,8,67047,1263378,"IZ 1@2,4@10 RS OFF REG Nectar",108031985,REAL JUICE MANGO 200M,18,Payback
BBID_20444608,16-12-1987,male,Punjab,143001,10-01-2016,2615,BB-AMRITSAR-TRILIUM MALL,4,20560,1068255,IN SHOP 499 GET 100 RS OFF ASSORTED 2615,830001572,Dust bin,321.22,Payback
BBID_20444634,21-04-1990,female,Punjab,143001,17-01-2017,2615,BB-AMRITSAR-TRILIUM MALL,12,75714,NONPROMO,,1000640693,KANWAL KASHMIRI LAL MIRCH POWDER 400g,210,Payback
BBID_20444684,19-12-1984,female,Punjab,143001,14-05-2016,2615,BB-AMRITSAR-TRILIUM MALL,3,37522,1133832,HO 10.0 Rs OFF Cream Biscuits,108027348,LOTTE CRM BISC CHOCO PIE 336g,89,Payback
BBID_20444696,04-12-1975,female,Punjab,143001,06-11-2016,2615,BB-AMRITSAR-TRILIUM MALL,9,67811,NONPROMO,,300844051,TTRT PICKLE MANGO 500g,70,Payback
BBID_20444696,04-12-1975,female,Punjab,143001,06-11-2016,2615,BB-AMRITSAR-TRILIUM MALL,9,67811,NONPROMO,,108020710,CADBURY CHOCO CRACKLE 38g 23,40,Payback
BBID_20446207,04-01-1973,male,Punjab,743437,15-08-2016,2615,BB-AMRITSAR-TRILIUM MALL,9,51496,1167838,AD B1G1 FREE Terry Bath Towel BD NZ,1.00E+12,"AW16 Mafatlal Sol, 70CM X 1.4 M, PEACOCK",0,Payback
BBID_20446555,10-10-1993,female,Punjab,682020,19-03-2017,2615,BB-AMRITSAR-TRILIUM MALL,5,45715,NONPROMO,,108015135,RIN DET POW ADVANCE 1Kg,74,Payback
BBID_20446712,22-04-1963,female,Punjab,134003,09-10-2016,2615,BB-AMRITSAR-TRILIUM MALL,9,61998,NONPROMO,,108100128,FB FR APPLE KINNAUR MEDIUM,141.38,Payback
BBID_20446999,19-12-1990,,Punjab,143001,21-09-2016,2615,BB-AMRITSAR-TRILIUM MALL,11,62298,NONPROMO,,1000128648,BHPC DEO BODY FRAGRANCE 9 WOMEN CN 150ml,250,Payback
BBID_20448639,01-12-1981,male,Punjab,143001,30-11-2015,2615,BB-AMRITSAR-TRILIUM MALL,12,12254,1049867,AZ 100% PAYBACK BB/FB/FBB/EASY DAY EXC,300781593,PB Card FVRL,0,Payback
BBID_20449188,01-01-1966,male,Punjab,143001,09-05-2017,2615,BB-AMRITSAR-TRILIUM MALL,11,10427,NONPROMO,,300468924,BRITANNIA BISC MARIE GOLD 89g,20,Payback
BBID_20449309,05-09-1972,male,Punjab,143001,21-05-2017,2615,BB-AMRITSAR-TRILIUM MALL,5,53471,NONPROMO,,1000025937,PARLE COOKIES HIDE&SEEK ASTD 4*120g OP,105,Payback
BBID_20449328,25-12-1945,male,Punjab,143001,02-10-2015,2615,BB-AMRITSAR-TRILIUM MALL,9,3763,NONPROMO,,108003872,FIGARO PURE OLIVE OIL TN 1L,1024,Payback
BBID_20450651,23-01-1970,male,Punjab,143001,18-09-2016,2615,BB-AMRITSAR-TRILIUM MALL,11,61991,1186493,HO 25 RS OFF NECTAR WEK AZ EX,1000107806,SUNKIST JUICE ORANGE TP 1L,74,Payback
BBID_20450740,20-03-1984,female,Punjab,143001,20-01-2016,2615,BB-AMRITSAR-TRILIUM MALL,9,16467,NONPROMO,,108020417,BRITANNIA CRM BIS MILK BIKIS 200g,80,Payback
BBID_20450778,16-02-1957,male,Punjab,143001,03-09-2016,2615,BB-AMRITSAR-TRILIUM MALL,12,55287,1175901,HO 10 RS OFF SHAMPOOS REG AZ EX,300822239,NYLE SHMP ANTI HAIRFALL  BT 400ml,160,Payback
BBID_20450779,04-04-1990,male,Punjab,143518,01-02-2016,2615,BB-AMRITSAR-TRILIUM MALL,12,20838,NONPROMO,,1.00E+12,"IT-FA-HA-BF-49-COL-050, NA, Black Coffee",49,Payback
BBID_20452361,22-11-1989,male,Punjab,143001,14-12-2016,2615,BB-AMRITSAR-TRILIUM MALL,10,74128,NONPROMO,,1.00E+12,"3170-Ank-Thumb-Sks-Spn, FS, SKIN",59,Payback
BBID_20452361,22-11-1989,male,Punjab,143001,07-08-2016,2615,BB-AMRITSAR-TRILIUM MALL,1,34275,NONPROMO,,108000567,GH DAILY OTH PULSE CHANA DAL PREM 2K,249,Payback
BBID_20452580,01-04-1975,male,Punjab,143001,20-12-2015,2615,BB-AMRITSAR-TRILIUM MALL,4,16896,NONPROMO,,108020414,BRITANNIA BISC LITLE HEART 37g,20,Payback
BBID_20452586,25-05-1982,female,Punjab,143001,26-06-2016,2615,BB-AMRITSAR-TRILIUM MALL,8,38478,1121688,INZ SHOP FOR 999 GET 100 RS OF CMS NZ EX,300754222,OREO CRM BISC SANDWICH PP 50g,19.52,Payback
BBID_20452589,13-02-1982,male,Punjab,143001,25-11-2015,2615,BB-AMRITSAR-TRILIUM MALL,2,12516,NONPROMO,,300785150,BB-CB-27X30X168SWG-Suitable for ROI New,6,Payback
BBID_20452590,27-12-1979,male,Punjab,143001,24-07-2016,2615,BB-AMRITSAR-TRILIUM MALL,14,34240,NONPROMO,,1000212604,KNORR NDL CHINESE SCHEZWAN DOUBL PK 140g,30,Payback
BBID_20452644,17-10-1980,male,Punjab,143001,06-11-2015,2615,BB-AMRITSAR-TRILIUM MALL,9,7736,NONPROMO,,1000097263,"PaperBag-FSBB-10""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""x12.5""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""x4""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""G-Kraft 80GSM",5,Payback
BBID_20452644,17-10-1980,male,Punjab,143001,23-06-2016,2615,BB-AMRITSAR-TRILIUM MALL,4,48555,1145557,HO 229 FLAT CTC TEA NCR/NZ REG AZ EXC,300647581,F&P CTC TEA FAMILY PP 1Kg,458,Payback
BBID_20452681,03-01-1987,,Punjab,143001,25-01-2017,2615,BB-AMRITSAR-TRILIUM MALL,12,77224,NONPROMO,,1000109366,BRITANNIA 50-50 MASKA CHASKA 4*120g OP,75,Payback
BBID_20452681,03-01-1987,,Punjab,143001,21-05-2017,2615,BB-AMRITSAR-TRILIUM MALL,14,69157,NONPROMO,,300158262,SUNFEAST CRM BISC BOUNCE CHOCO 50g,20,Payback
BBID_20453205,11-06-1990,female,Punjab,143001,16-09-2016,2615,BB-AMRITSAR-TRILIUM MALL,14,41500,NONPROMO,,108020417,BRITANNIA CRM BIS MILK BIKIS 200g,40,Payback
BBID_20453497,07-10-1990,male,Punjab,143001,05-06-2017,2615,BB-AMRITSAR-TRILIUM MALL,10,8696,NONPROMO,,108100292,Carrot Red,4.5,Payback
BBID_20453501,01-04-1973,,Punjab,143001,19-06-2016,2615,BB-AMRITSAR-TRILIUM MALL,15,22760,1143018,HO 5 RS OFF CREAM BISCUITS REG AZ EXC,300680079,SUNFEAST BIS DARK FANTASY CHOCO FILS 75g,25,Payback
BBID_20453570,06-09-1940,,Punjab,160022,03-03-2017,2615,BB-AMRITSAR-TRILIUM MALL,2,67358,1255547,IN 50 %DIS LIQ FORK,1000088765,Beer Mug Single 14 Oz,0,Payback
BBID_20453683,04-09-1970,female,Punjab,143001,01-11-2016,2615,BB-AMRITSAR-TRILIUM MALL,9,67086,NONPROMO,,108020392,BRITANNIA BISC DIGESTIVE 100g,80,Payback
BBID_20453724,24-02-1981,,Punjab,143001,19-07-2016,2615,BB-AMRITSAR-TRILIUM MALL,8,42019,NONPROMO,,300111517,POTATO LOOSE,76.12,Payback
BBID_20453759,21-11-1993,male,Punjab,141001,01-05-2017,2615,BB-AMRITSAR-TRILIUM MALL,12,94358,NONPROMO,,108018870,AMUL KOOL CAFE CN 180ml,30,Payback
BBID_20453834,23-10-1992,female,Punjab,143001,25-02-2017,2615,BB-AMRITSAR-TRILIUM MALL,13,74021,NONPROMO,,108008232,COLGATE TPASTE CDC 100g,52,Payback
BBID_20453839,28-11-1997,male,Punjab,143001,17-02-2017,2615,BB-AMRITSAR-TRILIUM MALL,13,73223,NONPROMO,,300938765,BONN BREAD GARLIC PP 200g,25,Payback
BBID_20453914,05-12-1982,,Punjab,143001,01-09-2016,2615,BB-AMRITSAR-TRILIUM MALL,9,54649,NONPROMO,,1000602770,Sep'16 Scratch Card,0.01,Payback
BBID_20453948,29-07-1991,male,Punjab,143001,03-09-2016,2615,BB-AMRITSAR-TRILIUM MALL,15,28676,NONPROMO,,300840018,Fiber bag 45 GSM 20x25,7,Payback
BBID_20454083,26-11-1993,female,Punjab,143001,22-02-2017,2615,BB-AMRITSAR-TRILIUM MALL,13,73680,NONPROMO,,1000088473,PATANJALI COW GHEES BX 1L,3951,Payback
BBID_20454119,17-12-1987,male,Punjab,143001,02-06-2016,2615,BB-AMRITSAR-TRILIUM MALL,2,38563,NONPROMO,,8.30E+11,"SS16-CSSNSYN-C340-P&B, 33, BLUE",349,Payback
BBID_20455496,08-11-1980,female,Punjab,143001,30-03-2017,2615,BB-AMRITSAR-TRILIUM MALL,10,94801,1258476,IZ 10 %DIS REG Sanitary Pads,1000621120,SOFY PANY LINER DAILY FRESH PP 20N,76.5,Payback
BBID_20455522,02-10-1992,female,Punjab,152024,18-06-2017,2615,BB-AMRITSAR-TRILIUM MALL,12,1959,NONPROMO,,300396285,THUMS UP SOFT DRINK 500M,35,Payback
BBID_20455566,28-04-1970,female,Punjab,143001,30-04-2017,2615,BB-AMRITSAR-TRILIUM MALL,5,51508,NONPROMO,,1000717820,CADBURY DAIRY MILK LICKABLES 20g,0,Payback
BBID_20455575,03-07-1982,male,Punjab,143001,22-03-2017,2615,BB-AMRITSAR-TRILIUM MALL,10,92984,4033,Ex330,1000365916,S&S SS PLAIN KHOMCHA 14,142.84,Payback
BBID_20455592,14-10-1963,female,Punjab,143001,12-03-2017,2615,BB-AMRITSAR-TRILIUM MALL,12,84762,NONPROMO,,108100145,BANANA ROBUSTA RAW,31.92,Payback
BBID_20456808,26-08-1992,male,Punjab,143001,19-03-2016,2615,BB-AMRITSAR-TRILIUM MALL,4,32991,5015,Ex150,1000170083,MCVITIES BIS WHOLE WHEAT MARIE PP 100g,13.34,Payback
BBID_20456835,11-06-1984,male,Punjab,143001,01-10-2016,2615,BB-AMRITSAR-TRILIUM MALL,9,60315,NONPROMO,,108020392,BRITANNIA BISC DIGESTIVE 100g,80,Payback
BBID_20456835,11-06-1984,male,Punjab,143001,01-10-2016,2615,BB-AMRITSAR-TRILIUM MALL,9,60315,NONPROMO,,300400780,HERSHEYS DESSERT TOPPING CHOC SYRUP 623g,200,Payback
